time_pose,x_pose,y_pose,theta_pose,cov_xx,cov_xy,cov_yy,cov_thetatheta,time_odom,x_odom,y_odom,theta_odom
1763623483.502203,0.0,0.0,0.0,1.6e-05,0.0,1.6e-05,0.0,1763623483.501787,0.0,0.0,0.0
1763623483.5516663,0.0,0.0,0.0,1.831125e-05,0.0,1.6e-05,0.0,1763623483.5512094,0.0,0.0,0.0
1763623483.6015115,0.0,0.0,0.0,2.0622499999999998e-05,0.0,1.6e-05,0.0,1763623483.601198,0.0,0.0,0.0
1763623483.6517944,0.0,0.0,0.0,2.2933749999999997e-05,0.0,1.6e-05,0.0,1763623483.651203,0.0,0.0,0.0
1763623483.7018418,0.0,0.0,0.0,2.5244999999999996e-05,0.0,1.6e-05,0.0,1763623483.7012167,0.0,0.0,0.0
1763623483.751987,0.0,0.0,0.0,2.7556249999999996e-05,0.0,1.6e-05,0.0,1763623483.7512095,0.0,0.0,0.0
1763623483.8024542,0.0,0.0,0.0,2.9867499999999995e-05,0.0,1.6e-05,0.0,1763623483.8020246,0.0,0.0,0.0
1763623483.851724,0.0,0.0,0.0,3.2178749999999994e-05,0.0,1.6e-05,0.0,1763623483.8512022,0.0,0.0,0.0
1763623483.9016757,0.0,0.0,0.0,3.449e-05,0.0,1.6e-05,0.0,1763623483.9012203,0.0,0.0,0.0
1763623483.9518101,0.0,0.0,0.0,3.680125e-05,0.0,1.6e-05,0.0,1763623483.9512105,0.0,0.0,0.0
1763623484.0018425,0.0,0.0,0.0,3.91125e-05,0.0,1.6e-05,0.0,1763623484.0012138,0.0,0.0,0.0
1763623484.0518212,0.0,0.0,0.0,4.1423750000000005e-05,0.0,1.6e-05,0.0,1763623484.0512207,0.0,0.0,0.0
1763623484.101833,0.0,0.0,0.0,4.373500000000001e-05,0.0,1.6e-05,0.0,1763623484.1012182,0.0,0.0,0.0
1763623484.1518276,0.0,0.0,0.0,4.604625000000001e-05,0.0,1.6e-05,0.0,1763623484.1512153,0.0,0.0,0.0
1763623484.2018552,0.0,0.0,0.0,4.835750000000001e-05,0.0,1.6e-05,0.0,1763623484.2012155,0.0,0.0,0.0
1763623484.2516706,0.0,0.0,0.0,5.0668750000000015e-05,0.0,1.6e-05,0.0,1763623484.2511663,0.0,0.0,0.0
1763623484.3020346,0.0,0.0,0.0,5.298000000000002e-05,0.0,1.6e-05,0.0,1763623484.3011844,0.0,0.0,0.0
1763623484.3515532,0.0,0.0,0.0,5.529125000000002e-05,0.0,1.6e-05,0.0,1763623484.351166,0.0,0.0,0.0
1763623484.4017382,0.0,0.0,0.0,5.760250000000002e-05,0.0,1.6e-05,0.0,1763623484.4011788,0.0,0.0,0.0
1763623484.4515877,0.0,0.0,0.0,5.9913750000000026e-05,0.0,1.6e-05,0.0,1763623484.4511893,0.0,0.0,0.0
1763623484.501765,0.0,0.0,0.0,6.222500000000002e-05,0.0,1.6e-05,0.0,1763623484.5013692,0.0,0.0,0.0
1763623484.551701,0.0,0.0,0.0,6.453625000000002e-05,0.0,1.6e-05,0.0,1763623484.551213,0.0,0.0,0.0
1763623484.6019056,0.0,0.0,0.0,6.684750000000003e-05,0.0,1.6e-05,0.0,1763623484.6014519,0.0,0.0,0.0
1763623484.6516879,0.0,0.0,0.0,6.915875000000003e-05,0.0,1.6e-05,0.0,1763623484.6512055,0.0,0.0,0.0
1763623484.701816,0.0,0.0,0.0,7.147000000000003e-05,0.0,1.6e-05,0.0,1763623484.7012236,0.0,0.0,0.0
1763623484.7518806,0.0,0.0,0.0,7.378125000000003e-05,0.0,1.6e-05,0.0,1763623484.751224,0.0,0.0,0.0
1763623484.8017166,0.0,0.0,0.0,7.609250000000004e-05,0.0,1.6e-05,0.0,1763623484.80123,0.0,0.0,0.0
1763623484.85173,0.0,0.0,0.0,7.840375000000004e-05,0.0,1.6e-05,0.0,1763623484.8512256,0.0,0.0,0.0
1763623484.9017017,0.0,0.0,0.0,8.071500000000004e-05,0.0,1.6e-05,0.0,1763623484.9012175,0.0,0.0,0.0
1763623484.9517252,0.0,0.0,0.0,8.302625000000005e-05,0.0,1.6e-05,0.0,1763623484.9512177,0.0,0.0,0.0
1763623485.001741,0.0,0.0,0.0,8.533750000000005e-05,0.0,1.6e-05,0.0,1763623485.0012574,0.0,0.0,0.0
1763623485.051712,0.0,0.0,0.0,8.764875000000005e-05,0.0,1.6e-05,0.0,1763623485.0512211,0.0,0.0,0.0
1763623485.101884,0.0,0.0,0.0,8.996000000000005e-05,0.0,1.6e-05,0.0,1763623485.10153,0.0,0.0,0.0
1763623485.1516986,0.0,0.0,0.0,9.227125000000006e-05,0.0,1.6e-05,0.0,1763623485.15122,0.0,0.0,0.0
1763623485.2018359,0.0,0.0,0.0,9.458250000000006e-05,0.0,1.6e-05,0.0,1763623485.2012239,0.0,0.0,0.0
1763623485.251823,0.0,0.0,0.0,9.689375000000006e-05,0.0,1.6e-05,0.0,1763623485.2512264,0.0,0.0,0.0
1763623485.301946,0.0,0.0,0.0,9.920500000000006e-05,0.0,1.6e-05,0.0,1763623485.3012276,0.0,0.0,0.0
1763623485.3517263,0.0,0.0,0.0,0.00010151625000000007,0.0,1.6e-05,0.0,1763623485.351225,0.0,0.0,0.0
1763623485.4018123,0.0,0.0,0.0,0.00010382750000000007,0.0,1.6e-05,0.0,1763623485.4013517,0.0,0.0,0.0
1763623485.4516618,0.0,0.0,0.0,0.00010613875000000007,0.0,1.6e-05,0.0,1763623485.451212,0.0,0.0,0.0
1763623485.5016243,0.0,0.0,0.0,0.00010845000000000007,0.0,1.6e-05,0.0,1763623485.5012155,0.0,0.0,0.0
1763623485.5515683,0.0,0.0,0.0,0.00011076125000000008,0.0,1.6e-05,0.0,1763623485.5511947,0.0,0.0,0.0
1763623485.6017432,0.0,0.0,0.0,0.00011307250000000008,0.0,1.6e-05,0.0,1763623485.6012115,0.0,0.0,0.0
1763623485.651567,0.0,0.0,0.0,0.00011538375000000008,0.0,1.6e-05,0.0,1763623485.651212,0.0,0.0,0.0
1763623485.7017624,0.0,0.0,0.0,0.00011769500000000009,0.0,1.6e-05,0.0,1763623485.7012246,0.0,0.0,0.0
1763623485.7516983,0.0,0.0,0.0,0.00012000625000000009,0.0,1.6e-05,0.0,1763623485.7512348,0.0,0.0,0.0
1763623485.8015423,0.0,0.0,0.0,0.00012231750000000008,0.0,1.6e-05,0.0,1763623485.8011835,0.0,0.0,0.0
1763623485.8516326,0.0,0.0,0.0,0.00012462875000000007,0.0,1.6e-05,0.0,1763623485.85121,0.0,0.0,0.0
1763623485.90166,0.0,0.0,0.0,0.00012694000000000006,0.0,1.6e-05,0.0,1763623485.9011996,0.0,0.0,0.0
1763623485.9516737,0.0,0.0,0.0,0.00012925125000000004,0.0,1.6e-05,0.0,1763623485.9512103,0.0,0.0,0.0
1763623486.0016413,0.0,0.0,0.0,0.00013156250000000003,0.0,1.6e-05,0.0,1763623486.0012174,0.0,0.0,0.0
1763623486.051707,0.005065818153913541,0.0,0.0368544971514874,0.00013387375000000002,0.0,1.7070699782485865e-05,0.0,1763623486.0512247,0.005065818153913541,0.0,0.036854497151487406
1763623486.101513,0.009940700874187244,0.00017974273745964664,0.07035858547102142,0.00013618323390942314,9.90891253181465e-09,2.0143549863164746e-05,0.0,1763623486.101177,0.009940700874187244,0.00017974273745964664,0.07035858547102142
1763623486.1517472,0.024739162895329556,0.0023437677311297206,0.2351198246856737,2.666505935444442e-05,1.9644699182665977e-07,1.3087002120569398e-05,0.0,1763623486.1512153,0.014619668085716724,0.0005094925551176228,0.10721308262250881
1763623486.151931,0.029300680887792738,0.0034364811945994983,0.27197432183716114,2.8827506940696988e-05,8.964150543460065e-07,1.2147318697900355e-05,0.0,1763623486.2012239,0.019656399226851584,0.0010515746341815831,0.14406757977399617
1763623486.20176,0.026654410965961915,0.004076063172308801,0.29340098280934374,1.4763377219780618e-05,1.0037697644038073e-06,1.1698921790521592e-05,0.0,1763623486.25122,0.024298378215832632,0.0017249988501643239,0.18092207692548368
1763623486.2019513,0.03150374551953177,0.00554114609012384,0.33025547996083104,1.684946349414564e-05,1.8753302030369273e-06,1.0707373478909856e-05,0.0,1763623486.3012276,0.028912391975569527,0.0025690048535624253,0.21107575641306417
1763623486.252043,0.028244050646271786,0.005559755670217056,0.3458213633410029,1.0779172534001605e-05,1.5238365981908837e-06,1.0592333090908403e-05,0.0,1763623486.3512268,0.03368232104141647,0.003591044820922374,0.24457984473259828
1763623486.2523587,0.03265692871033052,0.007149716770547106,0.38267586049249036,1.2807396457033758e-05,2.475174502807631e-06,9.802981833447732e-06,0.0,1763623486.401426,0.03805125891078508,0.004681428159147651,0.2780839330521321
