time,x,y,theta,cov_xx,cov_xy,cov_yy,cov_thetatheta
1763368115.2645836,0.0,0.01499997656253662,0.0,0.00022499683598198317,0.0,2.4999960938743016e-05,0.0
1763368115.3153672,0.0,0.014999988281259155,0.0,0.00011277259056413196,0.0,1.2499990234678123e-05,0.0
1763368115.3644197,0.046010455613083756,0.015009421222396725,0.004640374670852636,7.636038460810035e-05,-6.885457630845426e-07,1.0229199763879588e-05,0.0
1763368115.4156249,0.05250559511078622,0.015019013995418697,0.005002211891874206,5.979505725824387e-05,-5.958509471813973e-07,7.607684591748068e-06,0.0
1763368115.4665985,0.05524699090318969,0.015024733324802407,0.0015233494381389255,4.893810771219971e-05,-6.022714368002561e-07,6.075171444807786e-06,0.0
1763368115.5156968,0.057488900478419945,0.015021438038916169,0.004331556595442441,4.200578810008535e-05,-6.56196085985799e-07,5.210878294233718e-06,0.0
1763368115.564348,0.05709535074685251,0.015016509130403519,0.0039605693628603,3.5649847227036333e-05,-5.910255216588854e-07,4.359007374769789e-06,0.0
1763368115.6166806,0.10106173892291856,0.015046195722459554,0.004593275335200923,3.40839371110053e-05,-1.5305568453675025e-06,9.939263668408434e-06,0.0
1763368115.6643562,0.10221656196602381,0.015038742016973312,0.0050113141957618314,2.9624265555946807e-05,-1.002698022499617e-06,6.579869477428494e-06,0.0
1763368115.7144027,0.10563965707130156,0.015045954413848825,0.0020092177059946475,2.8023041801553686e-05,-8.278870110189238e-07,5.378512805782066e-06,0.0
1763368115.7660868,0.1112771890195085,0.014050589943402237,-0.01318994770605751,2.8588078977305745e-05,-8.283621949232264e-07,5.107448585738229e-06,0.0
1763368115.8165016,0.11369782540130981,0.013303334646900417,-0.02018162180487474,2.72621942942776e-05,-8.828688822402548e-07,4.687082608695011e-06,0.0
1763368115.8643687,0.11336441359698969,0.012795025132091407,-0.02780230963491334,2.441253675979484e-05,-8.541735618339133e-07,4.026439655992208e-06,0.0
1763368115.9152389,0.11819036899162642,0.012924789506104638,-0.029480217027773127,2.580932053314659e-05,-1.194254227382589e-06,4.466325161278497e-06,0.0
1763368115.9643626,0.11739486895601242,0.01316534441952356,-0.027837398268897962,2.326254362231465e-05,-1.173142498628761e-06,3.992471317100425e-06,0.0
1763368116.0144103,0.15715148321197409,0.013529999954248573,-0.0023359882671911726,2.284838942774814e-05,-1.615289781284866e-06,1.0089452874971635e-05,0.0
1763368116.0647757,0.16039030004080915,0.013992668854798716,0.009343501544685807,2.25991615041146e-05,-1.149598484500982e-06,7.291497189631895e-06,0.0
1763368116.1156538,0.16585236646931373,0.014281388796280178,0.012801672234363069,2.428101372583053e-05,-9.166283870925771e-07,6.4809173938896725e-06,0.0
1763368116.1646209,0.1682286659113888,0.014463577277928802,0.01740555590148723,2.379388081976424e-05,-7.47304678984956e-07,5.668371364396201e-06,0.0
1763368116.214706,0.16787928946568131,0.01455972154517136,0.018137830012445864,2.1544029451784367e-05,-6.188113667195659e-07,4.714659797109577e-06,0.0
1763368116.2644098,0.17012236345629667,0.014667608273926934,0.01433009953474021,2.1617571558307054e-05,-5.860795355413966e-07,4.4648929559802875e-06,0.0
1763368116.316335,0.21295881377815945,0.015215748491171603,0.012031877810790044,2.348680241412622e-05,-9.189865580732339e-07,1.061806606247065e-05,0.0
1763368116.3645666,0.2160275390991645,0.015171939056537527,0.011353906611265719,2.3152295894962535e-05,-6.413062943992522e-07,7.554751554614579e-06,0.0
1763368116.414938,0.21911643503631978,0.015155327958139102,0.010720854289918714,2.290095238698108e-05,-5.265799299870627e-07,6.152924934339417e-06,0.0
1763368116.4646769,0.21918658919808562,0.015124909018574852,0.010366881339223127,2.081844802843352e-05,-4.382659848519692e-07,4.913760508914781e-06,0.0
1763368116.5158963,0.2243201268112102,0.015134256760376963,0.00890516648615439,2.291002554402461e-05,-4.830692359707798e-07,4.865343299452391e-06,0.0
1763368116.564615,0.22658527017804775,0.015118278168414993,0.0068284747708689374,2.2749657274122534e-05,-5.383997679260265e-07,4.647089506610745e-06,0.0
1763368116.6143775,0.2259856604333861,0.015086997027417613,0.005175467478653252,2.073803688144731e-05,-5.387231028731405e-07,4.070188961783651e-06,0.0
1763368116.6643941,0.22800060194305613,0.015061663493062798,-0.0004899288123429112,2.1002256018311233e-05,-6.506836845917578e-07,4.0793229674948e-06,0.0
1763368116.715349,0.26878533539078836,0.01506163635954348,0.0003348787275938474,2.108415392134204e-05,-1.2030930451832984e-06,1.0471742807390858e-05,0.0
1763368116.7644536,0.2743017970243916,0.015044432012236162,0.0035004765939736417,2.308409235124206e-05,-9.577831687551492e-07,8.20714222477028e-06,0.0
1763368116.814918,0.2767320312959638,0.015034974563446388,0.0028942995034703218,2.2854644477531338e-05,-8.20180886784387e-07,6.655191088018734e-06,0.0
1763368116.8645504,0.2792618509363676,0.01502237690965044,0.0016943524245372932,2.2686192598270194e-05,-7.806536739596152e-07,5.85422962279053e-06,0.0
1763368116.9149137,0.27887702106819595,0.015009050549630804,0.0007721195597289585,2.066734755722467e-05,-7.088444356015504e-07,4.870757230851817e-06,0.0
1763368116.964391,0.28091280065762547,0.014993615500194542,-0.0007298798152014273,2.0921851024276008e-05,-7.45330189983225e-07,4.586241604913573e-06,0.0
