time,x_odom,y_odom,theta_odom
1763553567.6240222,0.0,0.0,0.0
1763553567.6739857,0.0,0.0,0.0
1763553567.72399,0.0,0.0,0.0
1763553567.7740226,0.0,0.0,0.0
1763553567.824012,0.0,0.0,0.0
1763553567.874016,0.0,0.0,0.0
1763553567.9240165,0.0,0.0,0.0
1763553567.97402,0.0,0.0,0.0
1763553568.0240192,0.0,0.0,0.0
1763553568.0739853,0.0,0.0,0.0
1763553568.1239724,0.0,0.0,0.0
1763553568.174017,0.0,0.0,0.0
1763553568.2239726,0.0,0.0,0.0
1763553568.2739727,0.0,0.0,0.0
1763553568.3240106,0.0,0.0,0.0
1763553568.3739846,0.0,0.0,0.0
1763553568.4239779,0.0,0.0,0.0
1763553568.4739707,0.0,0.0,0.0
1763553568.5240161,0.0,0.0,0.0
1763553568.5739799,0.0,0.0,0.0
1763553568.6241813,0.0,0.0,0.0
1763553568.6739757,0.0,0.0,0.0
1763553568.723975,0.0,0.0,0.0
1763553568.7740254,0.0,0.0,0.0
1763553568.8239746,0.086,0.0,0.0
1763553568.8739822,0.003752457891787797,0.0,0.0
1763553568.9239671,0.005253441048502921,0.0,0.0
1763553568.9739761,0.005628686837681701,0.0,0.0
1763553569.0240233,0.005628686837681701,0.0,0.0
1763553569.0739634,0.005628686837681701,0.0,0.0
1763553569.1239746,0.005628686837681701,0.0,0.0
1763553569.1740263,0.005816309732271091,0.0,0.003350408831953405
1763553569.2240212,0.006754418939943225,3.1430611352681636e-06,4.336808689942018e-19
1763553569.2739782,0.008443024991247737,3.1430611352681645e-06,0.0033504088319533934
1763553569.3240185,0.01106973077272971,1.1943632314018993e-05,0.0033504088319533856
1763553569.3740287,0.013696436554211683,2.0744203492769798e-05,0.003350408831953405
1763553569.4240181,0.016698386018762508,3.080199912562792e-05,0.003350408831953405
1763553569.4740257,0.01951271364177891,4.023118253143241e-05,0.006700817663906811
1763553569.5239577,0.022514612559880607,6.0346660896091036e-05,0.006700817663906811
1763553569.573949,0.025516511477982305,8.046213926074966e-05,0.006700817663906811
1763553569.6239815,0.02833079171370265,9.932040022761714e-05,0.003350408831953362
1763553569.674025,0.03114511933671905,0.00010874958363342151,0.006700817663906854
1763553569.7240183,0.033959399572439396,0.0001276078446002891,0.0033504088319534055
1763553569.7740262,0.036773727195455796,0.0001370370280060936,0.006700817663906854
1763553569.8240197,0.03958800743117614,0.0001558952889729612,0.0033504088319533626
1763553569.8740273,0.04221471321265811,0.00016469586015171195,0.0033504088319533626
1763553569.924021,0.04521666267720893,0.00017475365578456994,0.0033504088319534476
1763553569.9740133,0.04784336845869091,0.0001835542269633209,0.0033504088319533626
1763553570.0240195,0.050845317923241734,0.0001936120225961789,0.0033504088319534476
1763553570.0740318,0.05384726738779256,0.00020366981822903714,0.0033504088319533626
1763553570.1240253,0.05666159501080895,0.0002130990016348415,-1.3010426069826053e-18
1763553570.1740317,0.05947593842964981,0.0002130990016348415,0.0033504088319534476
1763553570.223977,0.06229026605266621,0.0002225281850406461,-1.3010426069826053e-18
1763553570.2739413,0.06491698657691768,0.0002225281850406461,-1.3010426069826053e-18
1763553570.3240309,0.06791895289034791,0.0002225281850406461,-1.3010426069826053e-18
1763553570.374027,0.07054567341459939,0.0002225281850406461,-1.3010426069826053e-18
1763553570.4240224,0.07317239393885085,0.0002225281850406461,-1.3010426069826053e-18
1763553570.4739814,0.07598673735769171,0.0002225281850406461,0.0033504088319533626
1763553570.524019,0.07880106498070812,0.0002319573684464505,-1.3010426069826053e-18
1763553570.5739558,0.08142778550495958,0.0002319573684464505,-1.3010426069826053e-18
1763553570.6240242,0.08424212892380044,0.0002319573684464505,0.0033504088319533626
1763553570.6739814,0.08705645654681685,0.00024138655185225487,-1.3010426069826053e-18
1763553570.7240205,0.0898707999656577,0.00024138655185225487,0.0033504088319533626
1763553570.7740223,0.09287274943020853,0.00025144434748511287,0.0033504088319533626
1763553570.8240206,0.09549945521169051,0.00026024491866386365,0.0033504088319533626
1763553570.8740268,0.0983137828347069,0.000269674102069668,0.006700817663906897
1763553570.9240274,0.1013156817528086,0.00028978958043432684,0.006700817663906727
1763553570.9739888,0.1043175806709103,0.00030990505879898523,0.006700817663906727
1763553571.023986,0.1069442422242493,0.0003275061023680613,0.006700817663906897
1763553571.0739727,0.10957090377758827,0.0003451071459371378,0.006700817663906897
1763553571.1240191,0.11238518401330862,0.00036396540690400556,0.003350408831953533
1763553571.1740274,0.11519951163632502,0.0003733945903098104,0.006700817663906897
1763553571.2239897,0.11801379187204536,0.000392252851276678,0.003350408831953533
1763553571.274035,0.12064049765352734,0.0004010534224554292,0.01005122649586026
1763553571.3240173,0.12251663182518376,0.0004199115070151863,0.02345286182367371
1763553571.3740275,0.12401720220288776,0.00045511063058041785,0.043555314815394056
1763553571.4240239,0.12551676185302185,0.0005204657561043404,0.07035858547102147
1763553571.4740875,0.1268268726722501,0.0006127957050485734,0.09381144729469519
1763553571.52403,0.12813445800042728,0.0007358232940955629,0.1172643091183689
1763553571.5739777,0.12943879865056412,0.0008894808566544891,0.14071717094204275
1763553571.6240256,0.13073917722028164,0.001073683879296349,0.16417003276571662
1763553571.6740212,0.1320348784863907,0.001288331048237319,0.1876228945893905
1763553571.7240245,0.133325189798273,0.0015333043050625014,0.21107575641306436
1763553571.7740233,0.13460940146984718,0.0018084689116594078,0.2345286182367379
1763553571.8240213,0.13606929369848386,0.002157274183277788,0.2613318888923653
1763553571.8740206,0.13733806106972335,0.0024966037219404753,0.28478475071603904
1763553571.924026,0.13877858785104719,0.0029183062581330673,0.31158802137166636
1763553571.974031,0.14074306095252018,0.0035510225081657187,0.3283400655314332
