index,x_m,y_m,theta_rad,left_deg,right_deg
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0015009831567151233,0.0,0.0,4.0,4.0
25,0.0037524578917878084,0.0,0.0,10.0,10.0
26,0.005253441048502932,0.0,0.0,14.0,14.0
27,0.005628686837681712,0.0,0.0,15.0,15.0
28,0.005628686837681712,0.0,0.0,15.0,15.0
29,0.005628686837681712,0.0,0.0,15.0,15.0
30,0.005628686837681712,0.0,0.0,15.0,15.0
31,0.005816309732271103,0.0,0.003350408831953405,15.0,16.0
32,0.006754418939943236,3.1430611352681636e-06,4.336808689942018e-19,18.0,18.0
33,0.00844302499124775,3.1430611352681645e-06,0.003350408831953405,22.0,23.0
34,0.011069730772729722,1.1943632314019023e-05,0.0033504088319533856,29.0,30.0
35,0.013696436554211695,2.0744203492769832e-05,0.003350408831953405,36.0,37.0
36,0.016698386018762522,3.0801999125627954e-05,0.003350408831953405,44.0,45.0
37,0.019512713641778923,4.023118253143245e-05,0.006700817663906792,51.0,53.0
38,0.02251461255988062,6.034666089609103e-05,0.006700817663906773,59.0,61.0
39,0.02551651147798232,8.046213926074954e-05,0.006700817663906773,67.0,69.0
40,0.028330791713702664,9.932040022761691e-05,0.003350408831953409,75.0,76.0
41,0.031145119336719065,0.0001087495836334214,0.006700817663906815,82.0,84.0
