index,x_m,y_m,theta_rad,left_deg,right_deg
60,0.16828823693956077,0.0017217354290292254,0.010051226495860325,462.0,463.0
61,0.17091482477987976,0.0017481367474128857,0.010051226495859985,469.0,470.0
62,0.17372902603736437,0.0017764238742525205,0.01340163532781352,476.0,478.0
63,0.17654311672656015,0.0018141395494354518,0.010051226495859985,484.0,485.0
64,0.17935731798404475,0.0018424266762750866,0.01340163532781352,491.0,493.0
65,0.18217140867324053,0.0018801423514580179,0.016752044159767054,498.0,501.0
66,0.18498535720533552,0.0019272861516171612,0.013401635327813861,506.0,508.0
67,0.1877994478945313,0.0019650018268000933,0.016752044159766714,513.0,516.0
68,0.19061339642662628,0.0020121456269592357,0.013401635327813521,521.0,523.0
69,0.19342748711582203,0.002049861302142167,0.010051226495860328,529.0,530.0
70,0.19624168837330666,0.002078148428981803,0.013401635327813521,536.0,538.0
71,0.19905577906250244,0.0021158641041647344,0.010051226495859987,544.0,545.0
72,0.20186998031998704,0.0021441512310043692,0.013401635327813521,551.0,553.0
73,0.20468407100918282,0.0021818669061873007,0.010051226495859987,559.0,560.0
74,0.2076858856838331,0.0022120398414829114,0.010051226495859987,567.0,568.0
75,0.21031247352415208,0.002238441159866571,0.010051226495860327,574.0,575.0
76,0.2131266747816367,0.0022667282867062065,0.01340163532781352,581.0,583.0
77,0.21594076547083246,0.002304443961889138,0.010051226495860327,589.0,590.0
78,0.21875496672831707,0.0023327310887287737,0.013401635327813861,596.0,598.0
79,0.22156905741751284,0.002370446763911706,0.010051226495860327,604.0,605.0
80,0.22438325867499748,0.002398733890751342,0.01340163532781352,611.0,613.0
81,0.22719734936419322,0.0024364495659342732,0.010051226495860327,619.0,620.0
82,0.23001155062167786,0.0024647366927739093,0.01340163532781352,626.0,628.0
83,0.23301324735682002,0.0025049667463023697,0.01340163532781352,634.0,636.0
84,0.2356397320000694,0.0025401680431397723,0.01340163532781352,641.0,643.0
85,0.23864142873521157,0.0025803980966682327,0.01340163532781352,649.0,651.0
86,0.24145551942440735,0.002618113771851164,0.010051226495859985,657.0,658.0
87,0.24426972068189196,0.002646400898690799,0.01340163532781352,664.0,666.0
88,0.24708381137108773,0.0026841165738737305,0.010051226495859985,672.0,673.0
89,0.24989801262857234,0.0027124037007133653,0.01340163532781352,679.0,681.0
90,0.2527121033177681,0.002750119375896297,0.010051226495860327,687.0,688.0
91,0.2555263045752527,0.0027784065027359325,0.01340163532781352,694.0,696.0
92,0.2583403952644485,0.002816122177918864,0.010051226495860327,702.0,703.0
93,0.2613422099390988,0.0028462951132144755,0.010051226495860327,710.0,711.0
94,0.2641564111965834,0.0028745822400541112,0.006700817663906792,718.0,718.0
95,0.2671583101146851,0.0028946977184187697,0.006700817663906792,726.0,726.0
96,0.26997259035040544,0.0029135559793856372,0.0033504088319532576,734.0,733.0
97,0.27278691797342186,0.0029229851627914413,0.006700817663906792,741.0,741.0
98,0.2756011982091422,0.002941843423758309,0.0033504088319532576,749.0,748.0
99,0.2784155258321586,0.002951272607164113,0.006700817663906792,756.0,756.0
100,0.28122980606787895,0.0029701308681309804,0.010051226495860327,763.0,764.0
101,0.28404400732536356,0.002998417994970616,0.006700817663906792,771.0,771.0
102,0.2868582875610839,0.0030172762559374836,0.010051226495859985,778.0,779.0
103,0.2894848754014029,0.003043677574321143,0.010051226495860325,785.0,786.0
104,0.2922990766588875,0.0030719647011607787,0.013401635327813518,792.0,794.0
105,0.2951131673480833,0.00310968037634371,0.010051226495860325,800.0,801.0
106,0.29773975518840223,0.00313608169472737,0.010051226495860325,807.0,808.0
107,0.3003663430287212,0.0031624830131110303,0.010051226495859985,814.0,815.0
108,0.30318054428620583,0.003190770139950665,0.01340163532781352,821.0,823.0
109,0.3059946349754016,0.0032284858151335966,0.010051226495859985,829.0,830.0
110,0.3088088362328862,0.0032567729419732314,0.01340163532781352,836.0,838.0
111,0.31162292692208193,0.003294488617156163,0.016752044159767054,843.0,846.0
112,0.31443687545417687,0.0033416324173153058,0.01340163532781352,851.0,853.0
113,0.31725096614337267,0.0033793480924982373,0.016752044159766714,858.0,861.0
114,0.3200649146754676,0.0034264918926573793,0.013401635327813861,866.0,868.0
115,0.3228790053646634,0.0034642075678403116,0.016752044159767054,873.0,876.0
116,0.32569295389675834,0.0035113513679994545,0.01340163532781352,881.0,883.0
117,0.3283194385400077,0.003546552664836857,0.01340163532781352,888.0,890.0
118,0.3313211352751499,0.0035867827183653175,0.01340163532781352,896.0,898.0
119,0.3339476199183993,0.00362198401520272,0.01340163532781352,903.0,905.0
120,0.33694931665354144,0.0036622140687311805,0.01340163532781352,911.0,913.0
121,0.3397634073427372,0.003699929743914112,0.010051226495859985,919.0,920.0
122,0.3425776086002218,0.0037282168707537472,0.01340163532781386,926.0,928.0
123,0.3452040932434712,0.0037634181675911507,0.01340163532781386,933.0,935.0
124,0.348018183932667,0.003801133842774083,0.010051226495859985,941.0,942.0
125,0.3508323851901516,0.003829420969613718,0.013401635327813178,948.0,950.0
126,0.353458869833401,0.00386462226645112,0.01340163532781386,955.0,957.0
127,0.35646056656854314,0.003904852319979581,0.01340163532781386,963.0,965.0
128,0.3590870512117925,0.003940053616816984,0.01340163532781386,970.0,972.0
129,0.36208874794693474,0.003980283670345446,0.01340163532781386,978.0,980.0
130,0.3649028386361305,0.004017999345528378,0.010051226495860667,986.0,987.0
131,0.3677170398936151,0.004046286472368015,0.013401635327813178,993.0,995.0
132,0.37071873662875726,0.004086516525896474,0.01340163532781386,1001.0,1003.0
133,0.373532827317953,0.004124232201079406,0.010051226495860667,1009.0,1010.0
134,0.3763470285754376,0.004152519327919043,0.013401635327813178,1016.0,1018.0
135,0.3793487253105798,0.004192749381447502,0.01340163532781386,1024.0,1026.0
136,0.38216281599977553,0.004230465056630434,0.016752044159767054,1031.0,1034.0
137,0.38478916796306417,0.004274465936778967,0.016752044159767054,1038.0,1041.0
138,0.3877907130639655,0.00432475265694872,0.016752044159767054,1046.0,1049.0
139,0.39060466159606044,0.004371896457107862,0.013401635327813861,1054.0,1056.0
140,0.39341875228525625,0.004409612132290795,0.010051226495859987,1062.0,1063.0
141,0.39642056695990646,0.004439785067586405,0.010051226495859987,1070.0,1071.0
142,0.3994223816345568,0.004469958002882016,0.010051226495859987,1078.0,1079.0
143,0.4022365828920414,0.004498245129721651,0.006700817663906794,1086.0,1086.0
144,0.40505086312776173,0.004517103390688518,0.010051226495859987,1093.0,1094.0
145,0.4078650643852464,0.004545390517528153,0.006700817663906794,1101.0,1101.0
146,0.4106793446209667,0.00456424877849502,0.010051226495859987,1108.0,1109.0
147,0.41368115929561694,0.00459442171379063,0.010051226495859987,1116.0,1117.0
148,0.41630774713593593,0.00462082303217429,0.010051226495860668,1123.0,1124.0
149,0.41912194839342054,0.004649110159013927,0.013401635327813861,1130.0,1132.0
150,0.42174843303667,0.004684311455851331,0.01340163532781318,1137.0,1139.0
151,0.42475012977181215,0.00472454150937979,0.013401635327813861,1145.0,1147.0
152,0.42737661441506153,0.004759742806217193,0.013401635327813861,1152.0,1154.0
153,0.4300030990583109,0.004794944103054596,0.013401635327813861,1159.0,1161.0
154,0.4328171897475067,0.004832659778237529,0.010051226495859987,1167.0,1168.0
