index,x_m,y_m,theta_rad,left_deg,right_deg
0,0.0,0.0,0.0,15.0,13.0
1,0.0037437312455278374,0.0,0.0020351895871311915,21.0,20.0
2,0.008063412198146335,8.791381832459513e-06,0.004070379174262392,28.0,28.0
3,0.012671043253563023,2.754629090025416e-05,0.004070379174262392,36.0,36.0
4,0.016702720427052627,4.395683633457448e-05,0.004070379174262392,43.0,43.0
5,0.02102237454150577,6.153956358563196e-05,0.006105568761393593,50.0,51.0
6,0.025629957884760253,8.967183008385398e-05,0.006105568761393593,58.0,59.0
7,0.02966159331010792,0.00011428756326979822,0.006105568761393593,65.0,66.0
8,0.033693228735455584,0.00013890329645574245,0.006105568761393593,72.0,73.0
9,0.03830081207871006,0.00016703556295396445,0.006105568761393593,80.0,81.0
10,0.04233244750405773,0.0001916512961399087,0.006105568761393593,87.0,88.0
11,0.0463640829294054,0.00021626702932585297,0.006105568761393593,94.0,95.0
12,0.05068369231370647,0.0002426410291679361,0.008140758348524794,101.0,103.0
13,0.05529120886021053,0.0002801505365728719,0.008140758348524794,109.0,111.0
14,0.05932278583840159,0.0003129713555521908,0.008140758348524794,116.0,118.0
15,0.06335436281659264,0.00034579217453150967,0.008140758348524794,123.0,125.0
16,0.0679618793630967,0.0003833016819364454,0.008140758348524794,131.0,133.0
17,0.07199345634128775,0.00041612250091576427,0.008140758348524794,138.0,140.0
18,0.07660097288779182,0.0004536320083207001,0.008140758348524794,146.0,148.0
19,0.08092051965013937,0.0004887971715128274,0.010175947935655967,153.0,156.0
20,0.08523998589899134,0.0005327533524010609,0.008140758348524794,161.0,163.0
21,0.0898475024454954,0.0005702628598059967,0.008140758348524794,169.0,171.0
22,0.09387907942368645,0.0006030836787853155,0.008140758348524794,176.0,178.0
23,0.09848659597019052,0.0006405931861902514,0.008140758348524794,184.0,186.0
24,0.10251817294838157,0.0006734140051695703,0.008140758348524794,191.0,193.0
25,0.10683771971072913,0.0007085791683616976,0.0061055687613935684,199.0,200.0
26,0.1114453030539836,0.0007367114348599195,0.0061055687613936205,207.0,208.0
27,0.11547693847933127,0.0007613271680458638,0.0061055687613936205,214.0,215.0
28,0.11979654786363234,0.0007877011678879471,0.008140758348524794,221.0,223.0
29,0.12411609462597989,0.0008228663310800744,0.0061055687613935684,229.0,230.0
30,0.12843570401028098,0.0008492403309221574,0.008140758348524742,236.0,238.0
31,0.13275525077262854,0.0008844054941142845,0.0061055687613936725,244.0,245.0
32,0.13678688619797622,0.0009090212273002291,0.0061055687613935684,251.0,252.0
33,0.1413944695412307,0.000937153493798451,0.0061055687613935684,259.0,260.0
34,0.14542610496657835,0.0009617692269843952,0.0061055687613935684,266.0,267.0
35,0.14974571435087944,0.0009881432268264783,0.008140758348524742,273.0,275.0
36,0.154065261113227,0.0010233083900186054,0.0061055687613935684,281.0,282.0
37,0.15867284445648147,0.0010514406565168273,0.0061055687613936725,289.0,290.0
38,0.16328042779973595,0.0010795729230150496,0.0061055687613935684,297.0,298.0
39,0.16760003718403704,0.0011059469228571327,0.008140758348524742,304.0,306.0
40,0.1719195839463846,0.0011411120860492598,0.0061055687613936725,312.0,313.0
41,0.17652716728963908,0.0011692443525474821,0.0061055687613935684,320.0,321.0
42,0.18055880271498675,0.0011938600857334264,0.0061055687613935684,327.0,328.0
43,0.18487841209928785,0.0012202340855755095,0.004070379174262395,335.0,335.0
44,0.18948604315470452,0.001238988994643304,0.004070379174262395,343.0,343.0
45,0.19409367421012122,0.0012577439037110988,0.004070379174262395,351.0,351.0
46,0.19812535138361084,0.0012741544491454192,0.004070379174262395,358.0,358.0
47,0.20273298243902751,0.0012929093582132137,0.004070379174262395,366.0,366.0
48,0.20734061349444421,0.0013116642672810085,0.004070379174262395,374.0,374.0
49,0.21137229066793384,0.001328074812715329,0.004070379174262395,381.0,381.0
50,0.21597992172335054,0.0013468297217831236,0.004070379174262395,389.0,389.0
51,0.22029957583780366,0.0013644124490341811,0.0061055687613935684,396.0,397.0
52,0.22433121126315134,0.0013890281822201253,0.0061055687613935684,403.0,404.0
53,0.22893879460640582,0.0014171604487183472,0.0061055687613935684,411.0,412.0
54,0.23297043003175347,0.0014417761819042912,0.0061055687613935684,418.0,419.0
55,0.23700206545710115,0.0014663919150902354,0.0061055687613935684,425.0,426.0
56,0.2413216748414022,0.0014927659149323183,0.008140758348524846,432.0,434.0
57,0.24564122160374977,0.0015279310781244459,0.0061055687613935684,440.0,441.0
58,0.24967285702909744,0.00155254681131039,0.0061055687613935684,447.0,448.0
59,0.2537044924544451,0.001577162544496334,0.0061055687613935684,454.0,455.0
60,0.25831207579769955,0.001605294810994556,0.0061055687613936725,462.0,463.0
61,0.2623437112230472,0.0016299105441805006,0.006105568761393467,469.0,470.0
62,0.2666633206073483,0.0016562845440225831,0.008140758348524743,476.0,478.0
63,0.27098286736969585,0.0016914497072147102,0.006105568761393466,484.0,485.0
64,0.27530247675399694,0.0017178237070567927,0.008140758348524743,491.0,493.0
65,0.27962202351634446,0.0017529888702489198,0.01017594793565602,498.0,501.0
66,0.28394148976519645,0.0017969450511371536,0.00814075834852495,506.0,508.0
67,0.288261036527544,0.0018321102143292816,0.010175947935655813,513.0,516.0
68,0.29258050277639597,0.0018760663952175145,0.008140758348524742,521.0,523.0
69,0.2969000495387435,0.0019112315584096414,0.0061055687613936725,529.0,530.0
70,0.3012196589230446,0.001937605558251725,0.008140758348524745,536.0,538.0
71,0.3055392056853921,0.001972770721443852,0.006105568761393468,544.0,545.0
72,0.3098588150696932,0.0019991447212859346,0.008140758348524745,551.0,553.0
