time_pose,x_pose,y_pose,theta_pose,cov_xx,cov_xy,cov_yy,cov_thetatheta,time_odom,x_odom,y_odom,theta_odom
1763370600.417664,0.0,0.01499997656253662,0.0,0.00022499683598198317,0.0,2.4999960938743016e-05,0.0,1763370599.0139413,0.0,0.0,0.0
1763370600.4646149,0.0,0.014999988281259155,0.0,0.00011277259056413196,0.0,1.2499990234678123e-05,0.0,1763370599.0639496,0.002626720524251474,0.0,0.0
1763370600.5145714,0.0018500063983758928,0.01500089324936834,0.002950134793081144,7.652613324868282e-05,-6.54365749589144e-08,8.372686420718277e-06,0.0,1763370599.1139474,0.005628686837681716,0.0,1.7037462710486497e-16
1763370600.56461,0.04465982376584077,0.015094713742916372,0.00026336381241612,5.8568283118622065e-05,-1.0836746043866207e-06,9.127328237732234e-06,0.0,1763370599.1639383,0.00825540736193318,4.475265298280388e-19,0.0
1763370600.6155605,0.04891710175751521,0.015074495449453593,0.0006875894575246279,4.810409101028822e-05,-8.083548988228703e-07,6.655356847590751e-06,0.0,1763370599.2139463,0.04859432969865214,4.475265298280388e-19,-0.0033504088319533405
1763370600.66642,0.05479337781665699,0.015060619446757791,-0.0028436196229120665,4.2929220953418195e-05,-8.827846523011818e-07,5.813173118521284e-06,0.0,1763370599.2639697,0.05122103548013408,-8.800571178750141e-06,-0.0033504088319533405
1763370600.7157335,0.054834304553925024,0.015049407341582804,-0.0029539293632838038,3.625525071998672e-05,-7.57087397694097e-07,4.711681485712321e-06,0.0,1763370599.3139443,0.054222984944684936,-1.8858366811608148e-05,-0.0033504088319533405
1763370600.7646108,0.057268903367385396,0.015032630206105693,-8.831294550583117e-05,3.312458348880531e-05,-8.073825748604666e-07,4.279497447287156e-06,0.0,1763370599.3639367,0.05703731256770133,-2.8287550217412446e-05,-1.470178145890344e-16
1763370600.8173885,0.06195807820241361,0.015011827369526252,-0.005248125028417944,3.255357005817276e-05,-1.1030008815431023e-06,4.56479700213547e-06,0.0,1763370599.4139357,0.059664033091952784,-2.8287550217412832e-05,1.9373143962069554e-16
1763370600.8674333,0.10313816364372708,0.014942180299507458,-0.002223437416061245,3.0080299718565067e-05,-1.7823537971012296e-06,1.0860318977171785e-05,0.0,1763370599.4639409,0.06266599940538303,-2.828755021741225e-05,-1.470178145890344e-16
1763370600.9169571,0.10629029868833001,0.01496786322672754,-0.0012329684208489823,2.833125849042241e-05,-1.2962771491144282e-06,7.680270731027278e-06,0.0,1763370599.5139618,0.10413065910963831,-2.8287550217418345e-05,0.003350408831953689
1763370600.9647758,0.10920515730264037,0.014974264199928594,0.002388980291432704,2.7005743092209232e-05,-1.0564964992080888e-06,6.222146587851883e-06,0.0,1763370599.5639422,0.1069449867326547,-1.8858366811613068e-05,1.5482407023093003e-16
1763370601.0149527,0.11161892495100767,0.014982618894523665,0.0021184584902087964,2.5993572438816272e-05,-9.312311382047882e-07,5.374526592926583e-06,0.0,1763370599.613951,0.10975933015149555,-1.885836681161263e-05,0.003350408831953689
1763370601.064628,0.11145032301310406,0.01498421026591795,0.001903951206349246,2.3364627956526085e-05,-7.997188216651715e-07,4.463438399663987e-06,0.0,1763370599.66395,0.11257365777451198,-9.429183405807288e-06,-1.8604909279851256e-16
1763370601.1155796,0.11400164203452312,0.014986203766151342,0.0010988475416858871,2.312236975147781e-05,-8.03386835437415e-07,4.223399198895587e-06,0.0,1763370599.7150505,0.11538800119335281,-9.429183405807811e-06,0.003350408831953689
1763370601.164603,0.11596755796038126,0.014980168873035275,-0.0002811776860472843,2.2941103396785114e-05,-8.374238438319335e-07,4.078135258422028e-06,0.0,1763370599.763948,0.11820232881636923,-2.468254008299031e-18,-1.8604909279851256e-16
,,,,,,,,1763370599.8139522,0.1577907595747306,-9.833645636208896e-18,0.0033504088319533405
,,,,,,,,1763370599.8639457,0.160605087197747,9.429183405794464e-06,-1.938553484404082e-16
,,,,,,,,1763370599.9139538,0.16341943061658784,9.429183405793918e-06,0.0033504088319533405
,,,,,,,,1763370599.9639478,0.16623375823960423,1.8858366811598214e-05,-1.938553484404082e-16
,,,,,,,,1763370600.0139475,0.16904810165844508,1.885836681159767e-05,0.0033504088319533405
,,,,,,,,1763370600.0639427,0.17186242928146148,2.8287550217401966e-05,-1.938553484404082e-16
,,,,,,,,1763370600.1139543,0.17486439559489173,2.8287550217401384e-05,-1.938553484404082e-16
,,,,,,,,1763370600.1639493,0.21388995766948493,2.8287550217393818e-05,-1.938553484404082e-16
,,,,,,,,1763370600.2139547,0.21670430108832578,2.8287550217393272e-05,0.0033504088319536813
,,,,,,,,1763370600.2639682,0.2195186287113422,3.77167336231986e-05,-1.938553484404082e-16
,,,,,,,,1763370600.3139307,0.22233297213018305,3.771673362319805e-05,0.0033504088319533405
,,,,,,,,1763370600.36395,0.22514729975319947,4.7145917029002413e-05,0.0067008176639065335
,,,,,,,,1763370600.4139442,0.22796157998891978,6.600417799586895e-05,0.00335040883195334
,,,,,,,,1763370600.463945,0.2307759076119362,7.543336140167331e-05,0.0067008176639065335
,,,,,,,,1763370600.5139437,0.2699882122296396,0.0003381917975400157,0.0033504088319536883
,,,,,,,,1763370600.5639515,0.27261491801112153,0.0003469923687187673,0.0033504088319536883
,,,,,,,,1763370600.613948,0.2756168674756724,0.00035705016435162625,0.003350408831953007
,,,,,,,,1763370600.663949,0.27843119509868886,0.0003664793477574298,-1.8648277366750676e-16
,,,,,,,,1763370600.7139413,0.2812455385175297,0.00036647934775742926,0.003350408831953007
,,,,,,,,1763370600.7639449,0.2842474879820805,0.00037653714339028606,0.003350408831953007
,,,,,,,,1763370600.816189,0.28706181560509686,0.00038596632679608933,-1.8648277366750676e-16
,,,,,,,,1763370600.8639548,0.32721311504722644,0.00038596632679608185,-1.8648277366750676e-16
,,,,,,,,1763370600.9157908,0.3298398355714779,0.00038596632679608136,-1.8648277366750676e-16
,,,,,,,,1763370600.963954,0.33265417899031874,0.0003859663267960808,0.0033504088319536887
,,,,,,,,1763370601.013947,0.3352808847718007,0.0003947668979748324,0.0033504088319536887
,,,,,,,,1763370601.063945,0.3382828342363515,0.00040482469360769154,0.0033504088319536887
,,,,,,,,1763370601.1139524,0.34090954001783347,0.00041362526478644314,0.0033504088319536887
,,,,,,,,1763370601.1639552,0.3435362457993154,0.00042242583596519456,0.0033504088319530074
