time_pose,x_pose,y_pose,theta_pose,cov_xx,cov_xy,cov_yy,cov_thetatheta,time_odom,x_odom,y_odom,theta_odom
1763621681.4854164,0.0,0.0,0.0,1.6e-05,0.0,1.6e-05,0.0,1763621681.4849622,0.0,0.0,0.0
1763621681.535423,0.0,0.0,0.0,1.831125e-05,0.0,1.6e-05,0.0,1763621681.5349946,0.0,0.0,0.0
1763621681.585428,0.0,0.0,0.0,2.0622499999999998e-05,0.0,1.6e-05,0.0,1763621681.584995,0.0,0.0,0.0
1763621681.6354735,0.0,0.0,0.0,2.2933749999999997e-05,0.0,1.6e-05,0.0,1763621681.634988,0.0,0.0,0.0
1763621681.6854415,0.0,0.0,0.0,2.5244999999999996e-05,0.0,1.6e-05,0.0,1763621681.684989,0.0,0.0,0.0
1763621681.7354138,0.0,0.0,0.0,2.7556249999999996e-05,0.0,1.6e-05,0.0,1763621681.7349787,0.0,0.0,0.0
1763621681.7856174,0.0,0.0,0.0,2.9867499999999995e-05,0.0,1.6e-05,0.0,1763621681.7849624,0.0,0.0,0.0
1763621681.8355737,0.0,0.0,0.0,3.2178749999999994e-05,0.0,1.6e-05,0.0,1763621681.8349817,0.0,0.0,0.0
1763621681.8853235,0.0,0.0,0.0,3.449e-05,0.0,1.6e-05,0.0,1763621681.884965,0.0,0.0,0.0
1763621681.9354975,0.0,0.0,0.0,3.680125e-05,0.0,1.6e-05,0.0,1763621681.934991,0.0,0.0,0.0
1763621681.9852927,0.0,0.0,0.0,3.91125e-05,0.0,1.6e-05,0.0,1763621681.9849598,0.0,0.0,0.0
1763621682.0354884,0.0,0.0,0.0,4.1423750000000005e-05,0.0,1.6e-05,0.0,1763621682.034989,0.0,0.0,0.0
1763621682.0851986,0.0,0.0,0.0,4.373500000000001e-05,0.0,1.6e-05,0.0,1763621682.0849235,0.0,0.0,0.0
1763621682.1353395,0.0,0.0,0.0,4.604625000000001e-05,0.0,1.6e-05,0.0,1763621682.1349294,0.0,0.0,0.0
1763621682.1853795,0.0,0.0,0.0,4.835750000000001e-05,0.0,1.6e-05,0.0,1763621682.1849847,0.0,0.0,0.0
1763621682.235271,0.0,0.0,0.0,5.0668750000000015e-05,0.0,1.6e-05,0.0,1763621682.2349834,0.0,0.0,0.0
1763621682.2853277,0.0,0.0,0.0,5.298000000000002e-05,0.0,1.6e-05,0.0,1763621682.2849748,0.0,0.0,0.0
