time_pose,x_pose,y_pose,theta_pose,cov_xx,cov_xy,cov_yy,cov_thetatheta,time_odom,x_odom,y_odom,theta_odom
1763621980.9366937,0.0,0.0,0.0,1.6e-05,0.0,1.6e-05,0.0,1763621980.9361577,0.0,0.0,0.0
1763621980.9866111,0.0,0.0,0.0,1.831125e-05,0.0,1.6e-05,0.0,1763621980.9861598,0.0,0.0,0.0
1763621981.036625,0.0,0.0,0.0,2.0622499999999998e-05,0.0,1.6e-05,0.0,1763621981.0361676,0.0,0.0,0.0
1763621981.0865853,0.0,0.0,0.0,2.2933749999999997e-05,0.0,1.6e-05,0.0,1763621981.0861568,0.0,0.0,0.0
1763621981.1366484,0.0,0.0,0.0,2.5244999999999996e-05,0.0,1.6e-05,0.0,1763621981.1361663,0.0,0.0,0.0
1763621981.1866448,0.0,0.0,0.0,2.7556249999999996e-05,0.0,1.6e-05,0.0,1763621981.1861584,0.0,0.0,0.0
1763621981.2365642,0.0,0.0,0.0,2.9867499999999995e-05,0.0,1.6e-05,0.0,1763621981.236153,0.0,0.0,0.0
1763621981.2866957,0.0,0.0,0.0,3.2178749999999994e-05,0.0,1.6e-05,0.0,1763621981.2861335,0.0,0.0,0.0
1763621981.3368669,0.0,0.0,0.0,3.449e-05,0.0,1.6e-05,0.0,1763621981.3361278,0.0,0.0,0.0
1763621981.386853,0.0,0.0,0.0,3.680125e-05,0.0,1.6e-05,0.0,1763621981.386133,0.0,0.0,0.0
1763621981.436679,0.0,0.0,0.0,3.91125e-05,0.0,1.6e-05,0.0,1763621981.4361243,0.0,0.0,0.0
1763621981.4866152,0.0,0.0,0.0,4.1423750000000005e-05,0.0,1.6e-05,0.0,1763621981.4861302,0.0,0.0,0.0
1763621981.5367026,0.0,0.0,0.0,4.373500000000001e-05,0.0,1.6e-05,0.0,1763621981.5361655,0.0,0.0,0.0
1763621981.58661,0.0,0.0,0.0,4.604625000000001e-05,0.0,1.6e-05,0.0,1763621981.5861614,0.0,0.0,0.0
1763621981.636974,0.0,0.0,0.0,4.835750000000001e-05,0.0,1.6e-05,0.0,1763621981.6361315,0.0,0.0,0.0
1763621981.686472,0.0,0.0,0.0,5.0668750000000015e-05,0.0,1.6e-05,0.0,1763621981.6861236,0.0,0.0,0.0
1763621981.7364829,0.0,0.0,0.0,5.298000000000002e-05,0.0,1.6e-05,0.0,1763621981.7361104,0.0,0.0,0.0
1763621981.7864587,0.0,0.0,0.0,5.529125000000002e-05,0.0,1.6e-05,0.0,1763621981.7861025,0.0,0.0,0.0
1763621981.8365316,0.0,0.0,0.0,5.760250000000002e-05,0.0,1.6e-05,0.0,1763621981.8361228,0.0,0.0,0.0
1763621981.8867972,0.0,0.0,0.0,5.9913750000000026e-05,0.0,1.6e-05,0.0,1763621981.886119,0.0,0.0,0.0
1763621981.9366374,0.0,0.0,0.0,6.222500000000002e-05,0.0,1.6e-05,0.0,1763621981.9361222,0.0,0.0,0.0
1763621981.9866562,0.0,0.0,0.0,6.453625000000002e-05,0.0,1.6e-05,0.0,1763621981.9861329,0.0,0.0,0.0
1763621982.03671,0.0,0.0,0.0,6.684750000000003e-05,0.0,1.6e-05,0.0,1763621982.0361176,0.0,0.0,0.0
